num,time,result,l1,l1x,l2,l2x,l3
15049,2015-05-02,08 09 11 15 22 08 10,137,"6,408","130,279",2,1
15048,2015-04-29,10 11 22 24 33 02 09,216,"8,774","143,406",4,2
15047,2015-04-27,01 02 17 23 31 05 12,149,"5,963","116,018",2,1
15046,2015-04-25,05 07 10 22 26 04 10,318,"13,505","236,652",9,3
15045,2015-04-22,08 09 22 29 30 08 12,349,"9,942","181,464",3,1
15044,2015-04-20,16 18 27 31 33 01 03,114,"5,992","129,532",0,0
15043,2015-04-18,02 20 22 25 29 02 07,157,"6,230","125,121",2,0
15042,2015-04-15,03 07 12 17 24 02 11,216,"8,865","165,857",5,1
15041,2015-04-13,01 11 21 23 28 01 10,225,"10,175","164,629",21,20
15040,2015-04-11,02 09 10 23 35 09 12,168,"7,746","144,976",1,0
15039,2015-04-08,03 06 07 16 25 01 06,100,"7,128","129,704",0,0
15038,2015-04-06,12 19 22 31 35 07 08,124,"4,440","95,901",2,1
15037,2015-04-04,10 16 21 28 31 07 08,478,"8,193","148,611",2,0
15036,2015-04-01,14 18 20 23 24 04 08,164,"7,652","137,666",1,0
15035,2015-03-30,22 24 29 30 35 01 10,245,"8,856","152,517",2,0
15034,2015-03-28,04 08 15 18 26 05 09,241,"9,521","169,927",5,1
15033,2015-03-25,03 17 22 26 28 03 07,293,"8,534","156,295",0,0
15032,2015-03-23,06 21 25 27 30 07 11,313,"8,985","145,087",2,0
15031,2015-03-21,07 21 29 32 33 04 12,155,"7,093","150,636",3,0
15030,2015-03-18,09 18 19 26 31 02 05,206,"8,682","162,778",1,0
15029,2015-03-16,07 10 19 30 35 03 05,163,"8,686","162,825",0,0
15028,2015-03-14,03 09 28 32 33 09 10,299,"11,389","203,697",4,1
15027,2015-03-11,05 21 22 25 28 03 10,162,"5,965","122,560",1,0
15026,2015-03-09,11 13 14 15 22 02 08,140,"5,984","118,734",6,2
15025,2015-03-07,07 10 20 22 27 10 11,155,"7,374","141,456",2,0
15024,2015-03-04,02 06 08 16 34 03 04,125,"4,716","101,431",0,0
15023,2015-03-02,06 09 11 12 22 03 11,119,"7,118","123,176",1,0
15022,2015-02-28,09 11 14 15 26 11 12,129,"6,119","130,049",0,0
15021,2015-02-25,22 23 24 26 31 05 06,156,"5,805","113,112",0,0
15020,2015-02-16,11 26 28 29 32 01 04,302,"6,027","131,429",21,0
15019,2015-02-14,02 08 16 22 24 01 03,153,"4,903","105,609",1,0
15018,2015-02-11,04 07 10 23 31 03 07,170,"8,072","140,056",1,0
15017,2015-02-09,07 13 16 17 29 01 07,174,"7,330","132,437",1,0
15016,2015-02-07,06 07 16 20 34 09 11,222,"8,070","156,424",0,0
15015,2015-02-04,01 05 13 17 32 04 11,555,"22,193","294,849",8,1
15014,2015-02-02,08 16 25 29 35 03 10,327,"7,089","139,361",3,0
15013,2015-01-31,11 15 25 28 35 07 10,143,"7,738","143,461",0,0
15012,2015-01-28,03 04 06 11 31 05 09,303,"9,278","180,307",2,0
15011,2015-01-26,04 13 22 25 30 01 06,192,"7,282","125,787",16,0
15010,2015-01-24,02 06 17 30 35 02 07,167,"8,167","155,581",1,0
15009,2015-01-21,17 22 26 27 33 06 10,135,"6,214","115,944",0,0
15008,2015-01-19,07 10 11 15 17 03 10,155,"8,685","139,564",54,0
15007,2015-01-17,02 07 08 14 31 04 08,175,"9,737","191,643",2,0
15006,2015-01-14,06 08 30 32 33 03 07,168,"8,979","185,790",2,2
15005,2015-01-12,11 14 15 18 19 07 08,219,"7,287","147,210",6,0
15004,2015-01-10,03 12 14 18 28 05 06,376,"8,259","155,290",3,3
15003,2015-01-07,12 19 27 28 34 01 12,229,"5,687","118,849",8,7
15002,2015-01-05,03 14 20 26 32 06 10,218,"8,927","160,550",3,1
15001,2015-01-03,08 09 19 27 30 06 07,557,"16,376","244,530",11,6
14154,2014-12-31,05 12 17 23 28 02 09,705,"11,558","198,576",14,10
14153,2014-12-29,01 08 13 24 32 05 10,170,"7,164","130,857",4,2
14152,2014-12-27,05 12 18 24 33 01 05,182,"6,768","144,580",3,1
14151,2014-12-24,03 08 26 31 32 08 12,284,"13,355","227,819",7,1
14150,2014-12-22,19 21 30 33 35 05 07,247,"8,745","158,385",6,6
14149,2014-12-20,02 13 19 26 35 01 05,245,"11,406","206,812",23,1
14148,2014-12-17,03 09 10 11 20 07 09,321,"11,966","212,406",4,0
14147,2014-12-15,05 09 14 26 34 02 09,195,"9,986","177,545",9,5
14146,2014-12-13,02 16 23 24 28 10 11,252,"8,413","162,793",2,0
14145,2014-12-10,15 19 22 24 26 10 11,108,"5,108","125,242",2,0
14144,2014-12-08,01 21 24 25 35 04 11,168,"5,996","121,327",0,0
14143,2014-12-06,01 11 14 18 25 06 10,97,"6,393","132,834",3,0
14142,2014-12-03,18 21 25 28 30 04 06,338,"13,965","229,597",10,0
14141,2014-12-01,04 17 20 26 29 05 08,537,"13,527","219,857",5,1
14140,2014-11-29,01 19 20 25 34 07 12,108,"6,141","124,082",1,0
14139,2014-11-26,03 05 07 15 34 01 10,109,"6,442","129,937",3,1
14138,2014-11-24,01 07 29 32 34 09 12,251,"5,534","122,103",4,1
14137,2014-11-22,02 11 16 22 34 02 05,401,"13,404","235,502",2,0
14136,2014-11-19,04 18 20 34 35 07 11,448,"10,196","185,440",9,6
